manager_model,method,run_id,query_id,history_name,num_required_gold,num_retrieved_gold,any_gold_retrieved,all_gold_retrieved,gold_recall,memory_context_tokens,confounder_tokens,mixed_or_unattributed_tokens,confounder_token_share,retrieved_entry_count,confusion_type,is_mixed_fused,evidence_has_gold_primary_missed
gemma4-e4b,add_all,0,87f097fd-32d3-40e6-b064-ba773a5232ec,001be529,1,1,True,True,1.0,255,209,0,0.8196078431372549,5,type_i,False,False
gemma4-e4b,add_all,0,f79e164a-a5ea-496b-ba7a-be1847f54847,00ca467f,2,0,False,False,0.0,250,250,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,1b321d43-0df2-4cd5-8463-1ba2ef7999b7,0100672e,2,1,True,False,0.5,225,171,0,0.76,5,type_i,False,False
gemma4-e4b,add_all,0,12c8972f-d9ce-4dfd-82aa-bd6dc9f9e7a3,01493427,2,0,False,False,0.0,253,253,0,1.0,5,type_ii,False,False
gemma4-e4b,add_all,0,18c3b2d1-4703-4c76-b9c2-617c4aa05898,031748ae,2,1,True,False,0.5,243,184,0,0.757201646090535,5,type_ii,False,False
gemma4-e4b,add_all,0,52121543-cc3b-4493-aaac-32b63715c93e,06878be2,1,0,False,False,0.0,218,218,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,7ad381af-2c57-4ac7-abbc-d1ab8e4ed60c,06db6396,2,0,False,False,0.0,219,219,0,1.0,5,type_ii,False,False
gemma4-e4b,add_all,0,4af337a8-32b6-4d8b-a623-2456cdfb7616,06f04340,3,0,False,False,0.0,216,216,0,1.0,4,type_i,False,False
gemma4-e4b,add_all,0,d97c5a29-8d09-4a9c-8411-d7342f33c5ef,07741c44,2,0,False,False,0.0,239,239,0,1.0,5,type_ii,False,False
gemma4-e4b,add_all,0,dcbddf76-81c1-435e-be84-5f30d6d2d75e,07741c45,2,0,False,False,0.0,235,235,0,1.0,5,type_ii,False,False
gemma4-e4b,add_all,0,3f41aa63-d44e-4383-b195-32a655134eea,078150f1,2,0,False,False,0.0,230,230,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,294ae4d8-cddd-49e3-9139-f34ed8bb78e5,07b6f563,1,0,False,False,0.0,223,223,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,f40ab742-4da7-4785-9af8-99662ca0ce6e,0862e8bf,1,0,False,False,0.0,253,253,0,1.0,6,type_i,False,False
gemma4-e4b,add_all,0,9cc8b533-f8b2-4b08-a52d-e3e9b6129057,08e075c7,1,0,False,False,0.0,247,247,0,1.0,5,type_ii,False,False
gemma4-e4b,add_all,0,c50ecdaa-e050-47ab-b211-0ab30c4d0e05,08f4fc43,2,0,False,False,0.0,214,214,0,1.0,4,type_i,False,False
gemma4-e4b,add_all,0,b3857e59-5aa2-49c2-8787-f61358d64776,0977f2af,2,1,True,False,0.5,231,179,0,0.7748917748917749,5,type_ii,False,False
gemma4-e4b,add_all,0,31a649cd-a136-443a-aa34-46aa887df82e,099778bb,2,1,True,False,0.5,245,181,0,0.7387755102040816,5,type_i,False,False
gemma4-e4b,add_all,0,a554d24f-d6ea-40ac-865a-82065f99db54,09ba9854,2,2,True,True,1.0,246,148,0,0.6016260162601627,5,type_i,False,False
gemma4-e4b,add_all,0,4c207703-8723-40c2-8720-cbde2d441012,09d032c9,2,0,False,False,0.0,254,254,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,a34a15bf-c977-45d2-9243-efc3b564b89e,0a34ad58,2,0,False,False,0.0,228,228,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,5e0482c5-b6eb-4e99-9d57-7bd48b9835d0,0a995998,3,0,False,False,0.0,228,228,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,93d7dd2c-1f4e-487e-ba94-b1ee4f9be1db,0bb5a684,2,1,True,False,0.5,213,103,0,0.4835680751173709,4,type_i,False,False
gemma4-e4b,add_all,0,907b28db-a71e-4b0c-8283-c73dc34ba626,0bc8ad92,2,0,False,False,0.0,234,234,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,b3ed8658-f937-4279-a424-94b951a2d363,0bc8ad93,1,0,False,False,0.0,245,245,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,b86f55de-7185-4c68-9057-02e12dba2637,0db4c65d,2,1,True,False,0.5,213,102,0,0.4788732394366197,4,type_i,False,False
gemma4-e4b,add_all,0,51539de1-4db6-426a-b650-1a25f9edcf34,0ddfec37,2,0,False,False,0.0,256,256,0,1.0,5,type_ii,False,False
gemma4-e4b,add_all,0,db8ee968-0ec8-4497-9d6c-999fcdfdbd5d,0e4e4c46,2,0,False,False,0.0,248,198,0,0.7983870967741935,5,type_ii,False,False
gemma4-e4b,add_all,0,531249a1-8e89-47d6-be61-945af4fd11cb,0e5e2d1a,1,1,True,True,1.0,239,175,0,0.7322175732217573,4,type_i,False,False
gemma4-e4b,add_all,0,0e1e683e-945c-4b80-932c-17c828278078,0ea62687,2,1,True,False,0.5,205,153,0,0.7463414634146341,4,type_i,False,False
gemma4-e4b,add_all,0,08bdcd12-8870-4497-9d83-a1e8de0a53e2,0edc2aef,1,0,False,False,0.0,228,228,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,9be4db64-60fd-4b6f-9227-22e4029786fd,0f05491a,2,2,True,True,1.0,244,100,0,0.4098360655737705,4,type_ii,False,False
gemma4-e4b,add_all,0,7d225fd7-63ac-4177-9584-e1118fe938d9,10d9b85a,3,0,False,False,0.0,254,254,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,9b50c82d-0bc8-4bc5-bc8e-5b2bd1796ad6,10e09553,2,0,False,False,0.0,252,252,0,1.0,5,type_ii,False,False
gemma4-e4b,add_all,0,b1fa519d-62e1-40ea-9975-f77c0279d034,118b2229,1,1,True,True,1.0,236,191,0,0.809322033898305,5,type_i,False,False
gemma4-e4b,add_all,0,cd512701-7a38-4372-8f57-7e759ddaeec4,1192316e,2,2,True,True,1.0,245,128,0,0.5224489795918368,5,type_i,False,False
gemma4-e4b,add_all,0,6738468a-a129-49df-8676-a03fe8577b24,129d1232,3,0,False,False,0.0,223,223,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,96bcc3be-130d-4958-9cdb-edba25e2fc34,1568498a,1,0,False,False,0.0,228,228,0,1.0,4,type_i,False,False
gemma4-e4b,add_all,0,3fa7fdd2-f94b-4454-8f6d-2d57a6765410,15745da0,1,0,False,False,0.0,235,235,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,e3760e42-40ad-4327-86b8-254c6c345ae4,157a136e,2,0,False,False,0.0,219,219,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,7dca1d20-0c54-4048-8034-10ccb18f4e35,16c90bf4,1,1,True,True,1.0,211,155,0,0.7345971563981043,4,type_i,False,False
gemma4-e4b,add_all,0,21240c71-0e22-42c7-8fa1-be3287e02cad,184da446,2,0,False,False,0.0,209,209,0,1.0,4,type_ii,False,False
gemma4-e4b,add_all,0,b511b846-670d-4c6e-b036-1333757b2b00,18bc8abd,2,1,True,False,0.5,201,144,0,0.7164179104477612,4,type_ii,False,False
gemma4-e4b,add_all,0,0d426451-8826-46e4-b8e6-27e59efa9b19,18dcd5a5,1,1,True,True,1.0,246,174,0,0.7073170731707317,4,type_i,False,False
gemma4-e4b,add_all,0,edc9b385-39a3-467f-9175-2d5d70e13e20,1903aded,1,1,True,True,1.0,255,193,0,0.7568627450980392,5,type_i,False,False
gemma4-e4b,add_all,0,30f60618-624c-4fdb-9e40-62aa904d1bd2,195a1a1b,1,0,False,False,0.0,231,231,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,3bd36286-e0c3-4395-9c8b-4c4bbd5d4605,19b5f2b3,1,0,False,False,0.0,232,232,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,ff4f7ccd-bb37-4853-8570-2a2bdb65333f,1a1907b4,1,0,False,False,0.0,228,228,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,9aa91cd6-b258-4d4a-8aa1-7d03f4ab765b,1a8a66a6,3,0,False,False,0.0,242,242,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,e8a7f656-10b5-4d3c-a1e6-72fd5fffd1e9,1b9b7252,1,1,True,True,1.0,253,171,0,0.6758893280632411,5,type_i,False,False
gemma4-e4b,add_all,0,a2adab9e-f305-46e0-ba1e-59c041d3a0e6,1c0ddc50,4,0,False,False,0.0,232,232,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,4a485526-ab5c-4dd5-abbd-1556453894ec,1c549ce4,2,0,False,False,0.0,229,229,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,f525ac83-7831-4b56-b166-c563d488d77c,1cea1afa,2,0,False,False,0.0,217,217,0,1.0,5,type_ii,False,False
gemma4-e4b,add_all,0,c447a2b4-0c0b-4c4d-8e3d-0b39fa7c1016,1d4da289,1,1,True,True,1.0,227,175,0,0.7709251101321586,5,type_i,False,False
gemma4-e4b,add_all,0,b3249624-4e08-4739-90d3-a811484c0cb7,1d4e3b97,2,0,False,False,0.0,228,228,0,1.0,4,type_i,False,False
gemma4-e4b,add_all,0,6b037229-ebfc-4e0b-93f8-94d25ee023ac,1da05512,2,0,False,False,0.0,220,220,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,38cb764c-bf41-4e2a-ac52-78ea99c2209e,1de5cff2,1,1,True,True,1.0,230,178,0,0.7739130434782608,5,type_i,False,False
gemma4-e4b,add_all,0,e277b9f8-a1f0-4996-a428-5db60ea30ec5,1e043500,1,0,False,False,0.0,256,256,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,8f950fa0-6e97-4223-8c04-c27d60a60435,1f2b8d4f,2,1,True,False,0.5,230,172,0,0.7478260869565218,5,type_i,False,False
gemma4-e4b,add_all,0,7baecf60-5e62-4d0f-8481-500555ade331,1faac195,1,1,True,True,1.0,243,202,0,0.831275720164609,5,type_i,False,False
gemma4-e4b,add_all,0,583c12a1-7b0e-4248-9f72-6d7fcc96e28e,2133c1b5,2,0,False,False,0.0,235,189,0,0.8042553191489362,5,type_ii,False,False
gemma4-e4b,add_all,0,01b46a4b-9d7b-4ab1-ac98-60c13e5b1054,21436231,1,1,True,True,1.0,210,160,0,0.7619047619047619,4,type_i,False,False
gemma4-e4b,add_all,0,7cd57b84-94a7-4004-a32a-dc75ea5d30a5,21d02d0d,2,2,True,True,1.0,232,97,0,0.41810344827586204,4,type_i,False,False
gemma4-e4b,add_all,0,ec104c88-8b79-400b-87e6-1108f291415b,22d2cb42,1,0,False,False,0.0,239,196,0,0.8200836820083682,5,type_ii,False,False
gemma4-e4b,add_all,0,0c664502-51b8-4712-b10a-54d809e3c8c0,2311e44b,2,1,True,False,0.5,238,188,0,0.7899159663865546,5,type_i,False,False
gemma4-e4b,add_all,0,37561675-3771-4beb-88fd-41a7d2ecd264,2318644b,2,1,True,False,0.5,206,154,0,0.7475728155339806,4,type_i,False,False
gemma4-e4b,add_all,0,aa170411-4073-4ce5-9b4a-92f57aaa739d,25e5aa4f,1,1,True,True,1.0,216,172,0,0.7962962962962963,5,type_i,False,False
gemma4-e4b,add_all,0,d23fc380-d06a-4274-ba29-46eecd1c6878,2698e78f,2,0,False,False,0.0,218,172,0,0.7889908256880734,5,type_ii,False,False
gemma4-e4b,add_all,0,a91beafe-5607-4ab9-b5fa-c3bd3f95fbdb,26bdc477,2,0,False,False,0.0,251,251,0,1.0,5,type_ii,False,False
gemma4-e4b,add_all,0,6e15f8cd-a8a1-4331-a2a6-6677e5937639,27016adc,2,0,False,False,0.0,209,209,0,1.0,4,type_i,False,False
gemma4-e4b,add_all,0,eec37613-e9ae-4b8f-b0c0-0b6271880753,2788b940,5,0,False,False,0.0,209,209,0,1.0,4,type_i,False,False
gemma4-e4b,add_all,0,de5d9988-40df-408f-b555-71e0ebc7a33f,28bcfaac,1,0,False,False,0.0,192,192,0,1.0,4,type_i,False,False
gemma4-e4b,add_all,0,be4fe919-6e43-4252-b21f-ed57ac2f943b,28dc39ac,5,0,False,False,0.0,252,252,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,f2803d17-5581-44fd-aa87-0740217c3696,29f2956b,1,0,False,False,0.0,220,220,0,1.0,4,type_i,False,False
gemma4-e4b,add_all,0,f4c42461-c019-4fbf-b8c0-f62386d4a26b,2a1811e2,2,0,False,False,0.0,209,209,0,1.0,4,type_i,False,False
gemma4-e4b,add_all,0,95da118c-b319-4cb0-af46-6de7db6814b4,2b8f3739,3,0,False,False,0.0,224,224,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,defaa999-a1e0-435e-83dd-c1e6fa1f5e7a,2bf43736,1,1,True,True,1.0,245,173,0,0.7061224489795919,4,type_i,False,False
gemma4-e4b,add_all,0,2eabfc19-155e-4233-8d6a-b5a9181e19b2,2c63a862,2,0,False,False,0.0,248,248,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,2eb79043-88f9-4e92-8fc3-bd444a460b15,2ce6a0f2,4,0,False,False,0.0,221,221,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,f1d8955f-ba22-4111-ad43-390415b63494,2e6d26dc,5,0,False,False,0.0,256,256,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,5865954e-fd7a-48e1-ba52-8a92fc086ec8,2ebe6c90,2,2,True,True,1.0,219,101,0,0.4611872146118721,4,type_i,False,False
gemma4-e4b,add_all,0,c4abe153-9443-41f4-a374-5411b10423d7,2ebe6c92,2,0,False,False,0.0,252,252,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,2dcdffd9-80a7-48a0-b0c8-fc8b176a393f,311778f1,1,1,True,True,1.0,240,178,0,0.7416666666666667,4,type_i,False,False
gemma4-e4b,add_all,0,f5ff35e1-e889-4e16-a21b-b71826c6f0ae,32260d93,1,0,False,False,0.0,218,218,0,1.0,5,type_i,False,False
gemma4-e4b,add_all,0,cb0b7c95-9aab-4aaa-b79f-32f824fbb1ea,3249768e,1,0,False,False,0.0,218,218,0,1.0,4,type_i,False,False
